player_1,player_2,total_net_points,total_duration,total_stints,impact_per_60
109,166,-12,1385,105,-0.008664259927797834
109,1904,-16,325,26,-0.04923076923076923
109,2058,-17,353,25,-0.04815864022662889
109,2130,-21,946,64,-0.022198731501057084
109,216,26,967,66,0.02688728024819028
109,270,-15,1189,90,-0.012615643397813289
109,296,-16,1595,123,-0.010031347962382446
109,323,7,514,38,0.013618677042801557
109,375,-18,1122,88,-0.016042780748663103
109,406,49,870,61,0.05632183908045977
109,977,11,610,52,0.018032786885245903
111,1497,13,1665,122,0.007807807807807808
111,1725,13,1518,107,0.008563899868247694
111,1887,11,1401,112,0.007851534618129907
111,1895,-23,969,89,-0.023735810113519093
111,210,30,1090,85,0.027522935779816515
111,324,-31,1480,125,-0.020945945945945947
111,417,9,369,47,0.024390243902439025
111,708,-1,496,45,-0.0020161290322580645
1110,123,15,932,68,0.016094420600858368
1110,145,13,469,45,0.02771855010660981
1110,1505,-28,867,50,-0.03229527104959631
1110,1711,-8,1232,92,-0.006493506493506494
1110,1721,-15,1164,107,-0.01288659793814433
1110,1899,-9,991,69,-0.009081735620585268
1110,426,-4,584,63,-0.00684931506849315
1110,45,22,646,60,0.034055727554179564
1110,686,2,527,38,0.003795066413662239
1110,702,-2,469,60,-0.0042643923240938165
1112,146,17,1509,128,0.01126573889993373
1112,1630,-9,1438,108,-0.006258692628650904
1112,182,11,960,60,0.011458333333333333
1112,2043,-35,2092,151,-0.016730401529636712
1112,376,-57,876,56,-0.06506849315068493
1112,688,0,746,49,0.0
1112,711,14,836,60,0.01674641148325359
1112,76,-12,283,25,-0.04240282685512368
1112,961,4,301,20,0.013289036544850499
1112,966,23,320,25,0.071875
1134,1710,37,1938,137,0.019091847265221878
1134,1722,40,820,61,0.04878048780487805
1134,1800,13,1920,143,0.0067708333333333336
1134,2031,-25,349,34,-0.07163323782234957
1134,236,36,1543,115,0.023331173039533377
1134,28,-37,976,67,-0.03790983606557377
1134,3,4,1077,73,0.003714020427112349
1134,51,16,370,33,0.043243243243243246
1134,735,-2,404,26,-0.0049504950495049506
1134,949,-3,444,30,-0.006756756756756757
1134,970,21,251,21,0.08366533864541832
1138,1714,28,438,35,0.0639269406392694
1138,1723,10,375,25,0.02666666666666667
1138,1889,33,381,31,0.08661417322834646
1138,1892,9,589,47,0.015280135823429542
1138,221,23,418,31,0.05502392344497608
1138,423,-10,212,11,-0.04716981132075472
120,1719,51,1539,114,0.03313840155945419
120,176,4,316,18,0.012658227848101266
120,21,-34,1230,95,-0.027642276422764227
120,278,89,2051,143,0.04339346660165773
120,431,27,2458,190,0.010984540276647681
120,717,6,1261,88,0.004758128469468675
120,739,64,4801,294,0.013330556134138721
120,757,67,4615,275,0.014517876489707475
120,905,36,2998,174,0.01200800533689126
120,937,-39,1277,78,-0.030540328895849646
121,1739,47,3178,197,0.014789175582127124
121,1740,90,2999,173,0.030010003334444816
121,1741,14,898,55,0.015590200445434299
121,1742,-24,776,53,-0.030927835051546393
121,2046,12,2532,158,0.004739336492890996
121,2106,-35,1755,118,-0.019943019943019943
121,442,17,331,21,0.0513595166163142
121,452,70,2123,123,0.03297220913801225
121,56,105,927,54,0.11326860841423948
121,699,-27,913,59,-0.029572836801752465
123,145,-5,504,45,-0.00992063492063492
123,1505,-36,808,54,-0.04455445544554455
123,1711,-20,1177,91,-0.016992353440951572
123,1721,-29,1530,120,-0.01895424836601307
123,1899,-15,838,60,-0.017899761336515514
123,426,9,580,48,0.015517241379310345
123,45,-1,958,78,-0.0010438413361169101
123,686,-25,373,29,-0.06702412868632708
123,702,1,445,41,0.0022471910112359553
123,89,6,207,18,0.028985507246376812
124,1444,-20,1056,84,-0.01893939393939394
124,1513,38,1041,75,0.03650336215177714
124,1517,-19,1243,67,-0.015285599356395816
124,1715,-17,1696,114,-0.010023584905660377
124,185,2,2287,123,0.0008745080891998251
124,2045,1,267,24,0.003745318352059925
124,468,-8,1401,95,-0.005710206995003569
124,57,-43,2309,128,-0.01862278042442616
124,978,-54,1009,38,-0.053518334985133795
124,98,4,304,18,0.013157894736842105
128,1521,-23,738,58,-0.03116531165311653
128,1900,-2,429,39,-0.004662004662004662
128,252,-16,599,45,-0.02671118530884808
128,304,-12,594,47,-0.020202020202020204
128,317,-12,237,15,-0.05063291139240506
133,136,79,3692,234,0.021397616468039005
133,1884,-61,2505,133,-0.024351297405189622
133,1906,-12,302,22,-0.039735099337748346
133,1924,41,1066,81,0.038461538461538464
133,1944,29,1861,134,0.015583019881783988
133,2048,87,3617,255,0.024053082665192148
133,469,-1,3937,252,-0.000254000508001016
133,695,-10,2373,179,-0.004214075010535188
133,765,20,994,77,0.02012072434607646
133,901,-28,724,54,-0.03867403314917127
133,922,0,1075,62,0.0
133,934,-6,563,47,-0.010657193605683837
136,1884,-21,2060,106,-0.010194174757281554
136,1924,50,754,68,0.06631299734748011
