home_lineup_tuple,away_lineup_tuple,total_home_points,total_away_points,total_duration,total_stints,net_points,net_per_60
"('1023', '1739', '1740', '1742', '2046')","('1110', '145', '426', '686', '702')",-4,-1,15,1,-3,-12.0
"('1023', '1739', '1740', '1742', '2106')","('1065', '164', '2068', '280', '779')",1,0,3,1,1,20.0
"('1023', '1739', '1740', '1742', '2106')","('1110', '145', '1505', '1721', '426')",2,3,4,1,-1,-15.0
"('1023', '1739', '1740', '1742', '2106')","('1110', '145', '1721', '426', '702')",7,5,24,1,2,5.0
"('1023', '1739', '1740', '1742', '452')","('1065', '164', '2068', '280', '779')",4,0,15,1,4,16.0
"('1023', '1739', '1740', '1742', '452')","('1110', '1505', '1899', '426', '686')",12,20,70,3,-8,-6.857142857142857
"('1023', '1740', '1741', '1742', '2106')","('109', '166', '1904', '2058', '2130')",9,2,30,2,7,14.0
"('1023', '1740', '1741', '442', '699')","('1065', '164', '703', '779', '84')",7,6,30,2,1,2.0
"('1023', '1740', '1742', '2046', '2106')","('1110', '123', '1899', '426', '702')",2,3,15,1,-1,-4.0
"('1023', '1740', '1742', '2046', '442')","('1110', '123', '1899', '426', '702')",1,0,3,1,1,20.0
"('1023', '1740', '1742', '2046', '452')","('1110', '1711', '1721', '1899', '702')",0,1,24,2,-1,-2.5
"('1023', '1740', '1742', '2046', '452')","('1110', '1711', '1899', '686', '702')",0,0,4,1,0,0.0
"('1023', '1740', '1742', '2046', '56')","('1110', '1711', '1899', '686', '702')",2,2,9,1,0,0.0
"('1023', '1740', '1742', '2046', '56')","('1110', '1899', '426', '686', '702')",3,2,13,1,1,4.615384615384616
"('1023', '1740', '1742', '442', '699')","('1065', '164', '275', '703', '779')",4,2,24,1,2,5.0
"('1023', '1740', '1742', '442', '699')","('1065', '164', '703', '779', '84')",4,2,17,2,2,7.0588235294117645
"('103', '1051', '111', '1497', '1725')","('1495', '1498', '1507', '198', '251')",4,1,9,1,3,20.0
"('103', '1051', '111', '1497', '1725')","('1495', '1498', '198', '251', '345')",2,3,15,1,-1,-4.0
"('103', '1051', '111', '1497', '1887')","('1495', '1498', '198', '251', '345')",0,0,7,1,0,0.0
"('103', '1051', '111', '1497', '1887')","('1495', '1498', '251', '345', '422')",0,4,16,1,-4,-15.0
"('103', '1051', '111', '1497', '1895')","('1498', '1507', '198', '251', '990')",2,3,20,2,-1,-3.0
"('103', '1051', '111', '1497', '708')","('1495', '1498', '198', '251', '345')",0,0,3,1,0,0.0
"('103', '1051', '111', '1725', '1895')","('1495', '1498', '1507', '198', '251')",4,2,15,2,2,8.0
"('103', '1051', '111', '1725', '1895')","('1495', '1498', '198', '251', '345')",0,2,8,2,-2,-15.0
"('103', '1051', '1497', '1895', '708')","('1495', '1507', '198', '251', '422')",20,12,60,2,8,8.0
"('103', '1051', '1497', '1895', '708')","('1498', '1507', '198', '251', '990')",2,0,3,1,2,40.0
"('103', '1073', '1497', '1887', '324')","('1711', '45', '686', '702', '89')",0,3,9,1,-3,-20.0
"('103', '1073', '1497', '324', '417')","('123', '1505', '1711', '1721', '45')",6,0,14,1,6,25.71428571428571
"('103', '1073', '1497', '324', '417')","('1711', '45', '686', '702', '89')",0,2,6,1,-2,-20.0
"('103', '111', '1497', '1725', '1887')","('1495', '1498', '1507', '198', '251')",-68,-60,124,7,-8,-3.870967741935484
"('103', '111', '1497', '1725', '1887')","('1711', '1721', '45', '702', '89')",2,0,10,1,2,12.0
"('103', '111', '1497', '1725', '324')","('123', '1711', '1721', '45', '702')",2,5,22,2,-3,-8.181818181818182
"('103', '111', '1497', '1725', '324')","('123', '1711', '1721', '45', '89')",0,0,3,1,0,0.0
"('103', '111', '1497', '1887', '324')","('1711', '1721', '1899', '702', '89')",20,20,44,4,0,0.0
"('103', '111', '1497', '1887', '324')","('1711', '1721', '45', '702', '89')",1,0,4,1,1,15.0
"('103', '111', '1497', '1887', '324')","('1711', '1899', '686', '702', '89')",8,3,16,1,5,18.75
