player_1,player_2,total_net_points,total_duration,total_stints,impact_per_60,player_1_name,player_2_name,pair_name
133,1924,41,1066,81,0.04,David Wesley,Lee Nailon,David Wesley + Lee Nailon
124,1513,38,1041,75,0.04,Vlade Divac,Scot Pollard,Vlade Divac + Scot Pollard
84,913,40,955,55,0.04,Latrell Sprewell,Larry Johnson,Latrell Sprewell + Larry Johnson
1886,1902,34,887,77,0.04,Jonathan Bender,Jeff Foster,Jonathan Bender + Jeff Foster
689,947,33,836,63,0.04,Theo Ratliff,Allen Iverson,Theo Ratliff + Allen Iverson
1733,64,33,783,61,0.04,Al Harrington,Sam Perkins,Al Harrington + Sam Perkins
911,951,28,774,56,0.04,Ervin Johnson,Ray Allen,Ervin Johnson + Ray Allen
1506,1902,31,761,63,0.04,Austin Croshere,Jeff Foster,Austin Croshere + Jeff Foster
1889,445,31,741,52,0.04,Andre Miller,Wesley Person,Andre Miller + Wesley Person
2101,339,26,733,52,0.04,Paul McPherson,Tom Gugliotta,Paul McPherson + Tom Gugliotta
283,998,25,691,46,0.04,Lindsey Hunter,Mark Pope,Lindsey Hunter + Mark Pope
399,400,27,687,47,0.04,Sean Rooks,Derek Strong,Sean Rooks + Derek Strong
136,765,24,684,50,0.04,P.J. Brown,Hersey Hawkins,P.J. Brown + Hersey Hawkins
1710,51,24,677,48,0.04,Mike Bibby,Mahmoud Abdul-Rauf,Mike Bibby + Mahmoud Abdul-Rauf
1630,182,28,673,46,0.04,Mikki Moore,Billy Owens,Mikki Moore + Billy Owens
1721,686,24,665,49,0.04,Keon Clark,Antonio McDyess,Keon Clark + Antonio McDyess
727,947,23,578,47,0.04,Eric Snow,Allen Iverson,Eric Snow + Allen Iverson
896,920,22,571,48,0.04,Tim Hardaway,A.C. Green,Tim Hardaway + A.C. Green
1900,330,22,570,51,0.04,Quincy Lewis,Danny Manning,Quincy Lewis + Danny Manning
1501,2038,23,556,34,0.04,Tim Thomas,Joel Przybilla,Tim Thomas + Joel Przybilla
389,947,23,541,52,0.04,Toni Kukoc,Allen Iverson,Toni Kukoc + Allen Iverson
2046,56,21,486,31,0.04,Desmond Mason,Gary Payton,Desmond Mason + Gary Payton
323,375,21,479,31,0.04,Greg Foster,Isaiah Rider,Greg Foster + Isaiah Rider
252,731,18,475,30,0.04,Karl Malone,Greg Ostertag,Karl Malone + Greg Ostertag
213,895,20,463,31,0.04,Antonio Davis,Tyrone Corbin,Antonio Davis + Tyrone Corbin
43,782,17,451,39,0.04,Chris Whitney,Mitch Richmond,Chris Whitney + Mitch Richmond
1741,56,20,447,26,0.04,Jelani McCoy,Gary Payton,Jelani McCoy + Gary Payton
2034,690,16,441,33,0.04,Mike Miller,Don Reid,Mike Miller + Don Reid
1499,958,17,438,33,0.04,Tony Battie,Vitaly Potapenko,Tony Battie + Vitaly Potapenko
